 Rank ,Website ,Category ,Change ,Avg. Visit Duration ,Pages / Visit ,Bounce Rate 
1,mediafire.com website analytics mediafire.com ,Computers Electronics and Technology > File Sharing and Hosting,=,00:03:46,2.76,49.73%
2,imgur.com website analytics imgur.com ,Computers Electronics and Technology > File Sharing and Hosting,=,00:03:28,4.63,50.44%
3,mega.nz website analytics mega.nz ,Computers Electronics and Technology > File Sharing and Hosting,=,00:04:32,4.31,47.20%
4,dropbox.com website analytics dropbox.com ,Computers Electronics and Technology > File Sharing and Hosting,=,00:04:48,7.14,40.54%
5,wetransfer.com website analytics wetransfer.com ,Computers Electronics and Technology > File Sharing and Hosting,=,00:02:36,2.2,60.04%
6,yts.mx website analytics yts.mx ,Computers Electronics and Technology > File Sharing and Hosting,=,00:03:32,5.19,38.88%
7,savefrom.net website analytics savefrom.net ,Computers Electronics and Technology > File Sharing and Hosting,1,00:04:26,2.76,52.83%
8,gofile.io website analytics gofile.io ,Computers Electronics and Technology > File Sharing and Hosting,=,00:03:45,4.52,34.30%
9,box.com website analytics box.com ,Computers Electronics and Technology > File Sharing and Hosting,=,00:07:23,7.98,26.43%
10,zippyshare.com website analytics zippyshare.com ,Computers Electronics and Technology > File Sharing and Hosting,=,00:03:42,3.62,48.56%
11,rarbg.to website analytics rarbg.to ,Computers Electronics and Technology > File Sharing and Hosting,-1,00:05:06,9.88,32.25%
12,rutracker.org website analytics rutracker.org ,Computers Electronics and Technology > File Sharing and Hosting,=,00:06:21,7.09,23.18%
13,1fichier.com website analytics 1fichier.com ,Computers Electronics and Technology > File Sharing and Hosting,1,00:03:33,2.84,29.43%
14,rapidgator.net website analytics rapidgator.net ,Computers Electronics and Technology > File Sharing and Hosting,2,00:05:19,4.6,28.07%
15,anonfiles.com website analytics anonfiles.com ,Computers Electronics and Technology > File Sharing and Hosting,1,00:02:00,3.34,39.57%
16,trontv.com website analytics trontv.com ,Computers Electronics and Technology > File Sharing and Hosting,-1,00:03:51,4.61,15.91%
17,thepiratebay.org website analytics thepiratebay.org ,Computers Electronics and Technology > File Sharing and Hosting,1,00:04:00,4.63,21.27%
18,nocookie.net website analytics nocookie.net ,Computers Electronics and Technology > File Sharing and Hosting,5,00:02:15,2,70.09%
19,1377x.to website analytics 1377x.to ,Computers Electronics and Technology > File Sharing and Hosting,1,00:04:59,7.68,20.00%
20,utorrent.com website analytics utorrent.com ,Computers Electronics and Technology > File Sharing and Hosting,38,00:01:07,1.77,71.96%
