 Rank ,Website ,Category ,Change ,Avg. Visit Duration ,Pages / Visit ,Bounce Rate 
1,espn.com website analytics espn.com ,Sports > Other Sports,=,00:09:53,3.04,46.27%
2,marca.com website analytics marca.com ,Sports > Other Sports,=,00:07:15,3.48,45.20%
3,as.com website analytics as.com ,Sports > Other Sports,=,00:05:47,2.27,52.82%
4,cricbuzz.com website analytics cricbuzz.com ,Sports > Fantasy Sports,-1,00:07:38,2.63,39.53%
5,mlb.com website analytics mlb.com ,Sports > Baseball,1,00:07:45,4.28,39.32%
6,futbol24.com website analytics futbol24.com ,Sports > Soccer,=,00:04:35,3.19,23.76%
7,betman.co.kr website analytics betman.co.kr ,Sports > Baseball,2,00:07:21,3.24,14.23%
8,espncricinfo.com website analytics espncricinfo.com ,Sports > Other Sports,2,00:07:26,2.63,37.71%
9,sports.yahoo.com website analytics sports.yahoo.com ,Sports > Other Sports,1,00:02:36,2.02,66.29%
10,bolavip.com website analytics bolavip.com ,Sports > Other Sports,13,00:00:35,1.62,41.31%
11,mundodeportivo.com website analytics mundodeportivo.com ,Sports > Other Sports,3,00:06:03,3.17,51.15%
12,yr.no website analytics yr.no ,Sports > Other Sports,12,00:01:43,3.07,36.46%
13,kooora.com website analytics kooora.com ,Sports > Soccer,-7,00:04:38,2.98,37.21%
14,hupu.com website analytics hupu.com ,Sports > Other Sports,1,00:08:46,7.31,17.26%
15,sportskeeda.com website analytics sportskeeda.com ,Sports > Other Sports,10,00:01:12,2.16,66.11%
16,sports.yahoo.co.jp website analytics sports.yahoo.co.jp ,Sports > Other Sports,1,00:05:00,2.54,42.12%
17,wplay.co website analytics wplay.co ,Sports > Soccer,4,00:06:33,4.56,33.32%
18,gazzetta.it website analytics gazzetta.it ,Sports > Soccer,-1,00:07:52,3.09,45.52%
19,goal.com website analytics goal.com ,Sports > Soccer,1,00:02:00,2.47,61.99%
20,cbssports.com website analytics cbssports.com ,Sports > Other Sports,-4,00:03:37,2.19,56.32%
